population_lsa,geocode,interlibrary_relation_code,legal_basis_code,admin_structure_code,fscs_definition_code,overdue_policy,beac_code,geo_type,locale_code,metro,county_population,num_central_lib,num_lib_branches,num_bookmobiles,visits_per_capita,visits_per_capita_binary,print_volumes_pc,ebook_volumes_pc,audio_physical_pc,audio_digital_pc,video_physical_pc,video_digital_pc,total_e_collection_pc,tot_physical_pc,other_physical_pc,mls_librarians_fte_pc,total_staff_fte_pc,other_paid_fte_pc
2202,PL1,NO,NP,SO,Y,Y,08,PLACE,43,N,61223,1,0,0,2.28519527702089,0,8.653042688465032,0,0.092188919164396,0,1.7125340599455041,0,0.022252497729336965,10.458219800181652,4.5413260672116256e-4,0,4.5413260672116256e-4,1.6348773841961853e-4
289810,CO1,NO,CO,MO,Y,N,08,COUNTY,11,0,286075,1,4,0,1.738842690038301,0,1.3846589144611987,0.16749939615610226,0.09433076843449156,0.13055105068838205,0.23825609882336704,0.014123046133673786,2.2083433973982955e-4,1.7228080466512543,0.005562264932196957,8.246782374659259e-5,8.246782374659259e-5,1.7373451571719403e-4
6154,PL1,NO,MJ,SO,Y,Y,08,PLACE,33,N,18224,1,0,0,3.6881702957426064,1,5.702957426064349,3.6730581735456616,0.354891127721807,1.9532011699707508,0.7929801754956126,0,0.008287292817679558,6.853428664283393,0.0025999350016249595,3.2499187520311994e-4,3.2499187520311994e-4,1.6249593760155997e-4
10565,PL2,NO,CO,SO,Y,Y,08,PLACE,42,0,115239,1,0,0,3.1824893516327495,1,2.102886890676763,0.29020350212967344,0.14907714150496923,0.4523426407950781,0.3231424514907714,0,0.004637955513487932,2.5793658305726455,0.004259346900141978,9.46521533364884e-5,1.893043066729768e-4,3.786086133459536e-4
53,PL1,NO,NP,SO,N,N,08,PLACE,43,N,12565,1,0,0,58.924528301886795,1,107.16981132075472,4.830188679245283,1.1320754716981132,0.7735849056603774,8.773584905660377,0,0.9245283018867925,117.35849056603773,0.2830188679245283,0,0,0
2566,PL1,NO,CI,SO,Y,N,08,PLACE,43,N,6769,1,0,0,8.326188620420888,1,9.09742790335152,8.809041309431022,0.27474668745128605,4.6843335931410754,0.6703039750584567,0,0.019095869056897894,10.089243959469993,0.04676539360872954,3.897116134060795e-4,0.0011691348402182386,7.79423226812159e-4
992,PL1,NO,CI,SO,Y,Y,08,PLACE,43,N,5696,1,0,0,8.308467741935484,1,11.454637096774194,22.786290322580644,0.4596774193548387,12.116935483870968,3.5413306451612905,0,0.04939516129032258,15.473790322580646,0.018145161290322582,0,0.0010080645161290322,8.266129032258064e-4
983,PL1,NO,CI,SO,Y,N,08,PLACE,43,N,7077,1,0,0,38.4852492370295,1,13.273652085452696,22.994913530010173,0.5991861648016277,12.227873855544253,3.5991861648016275,0,0.04984740590030519,17.69175991861648,0.21973550356052898,0,0.001017293997965412,0.002695829094608342
76,PL1,NO,NP,SO,Y,N,08,PLACE,43,N,7077,1,0,0,12.921052631578947,1,131.69736842105263,297.42105263157896,2.5657894736842106,0,52.276315789473685,0,0.6447368421052632,200.52631578947367,13.986842105263158,0,0.0059210526315789476,0.005657894736842105
96747,CO1,NO,CO,MO,Y,N,08,COUNTY,13,0,94840,1,1,1,2.547148748798412,0,2.799580348744664,8.378833452200068,0.22943347080529627,5.834816583459952,0.39461688734534406,0.7152263119269848,7.235366471311772e-4,3.424137182548296,5.064756529918241e-4,1.395392105181556e-4,1.5742090194011184e-4,3.48848026295389e-4
435,PL1,NO,CI,SO,Y,N,08,PLACE,43,N,5129,1,0,0,6.066666666666666,1,20.508045977011495,0,0.2942528735632184,0,1.9954022988505746,0,0.11264367816091954,22.797701149425286,0,0,8.735632183908046e-4,0
657,PL1,NO,CI,SO,Y,N,08,PLACE,43,N,2262,1,0,0,7.933028919330289,1,19.423135464231354,36.84779299847793,0.0228310502283105,19.93607305936073,2.9056316590563167,0,0.0745814307458143,23.605783866057838,1.2541856925418569,0,0.002100456621004566,0.0012176560121765602
2575,CO2,NO,CO,SO,Y,Y,08,COUNTY,43,N,2070,1,0,0,19.449320388349516,1,9.332038834951456,8.778252427184466,0.6718446601941748,4.667961165048544,2.211650485436893,0,0.019029126213592235,12.244271844660194,0.028737864077669904,0,0.0011650485436893205,0.0010679611650485437
929,PL1,NO,NP,SO,Y,N,08,PLACE,43,N,1584,1,0,0,1.0624327233584498,0,26.330462863293864,24.331539289558666,0.41442411194833156,12.93864370290635,1.6146393972012918,0,0.0527448869752422,28.365984930032294,0.006458557588805167,0,0,6.458557588805167e-4
139,PL2,NO,NP,SO,N,N,08,PLACE,43,N,5696,1,0,0,9.014388489208633,1,42.280575539568346,0.8920863309352518,0.37410071942446044,0,18.071942446043167,0,0.35251798561151076,60.726618705035975,0,0,0,0
5515,PL1,NO,CI,SO,Y,N,08,PLACE,43,N,61223,1,0,0,22.748866727107888,1,8.003082502266546,4.098640072529465,0.3838621940163191,2.1795104261106073,0.8971894832275612,5.674524025385312,0.010335448776065277,9.358839528558477,0.07470534904805078,3.6264732547597464e-4,3.6264732547597464e-4,0.0010698096101541253
167,PL1,NO,NP,SO,N,N,08,PLACE,42,N,61223,1,0,0,11.22754491017964,1,31.41317365269461,0,1.4191616766467066,0,17.251497005988025,0,0.2934131736526946,50.44311377245509,0.3592814371257485,0,0,0
32202,CO1,NO,CO,MO,Y,N,08,COUNTY,33,1,31555,1,2,0,5.669337308241724,1,3.6282529035463638,0.7019439786348673,0.2149866467921247,0.3732687410719831,0.25706477858518106,1.6579405005900254,0.0021427240544065586,4.1170113657536795,0.01670703683001056,1.4750636606421962e-4,1.4750636606421962e-4,7.129991925967331e-4
7507,PL1,NO,CI,SO,Y,N,08,PLACE,33,N,61223,1,0,0,7.508858398827761,1,8.525376315438924,3.011056347409085,0.23711202877314508,1.601172239243373,0.6346076994804849,0,0.0067936592513653925,10.138537365125883,0.7414413214333289,1.332090049287332e-4,1.332090049287332e-4,9.484481150925803e-4
13762,CO1,NO,CO,SO,Y,N,08,COUNTY,33,1,13738,1,0,0,3.4941142275832,1,3.9952768492951605,1.6424938235721551,0.2547594826333382,0.6458363609940415,0.46657462578113645,0,0.0038511844208690598,4.734486266531028,0.01787530882139224,2.179915709925883e-4,2.6158988519110597e-4,5.391658189216683e-4
12498,CO2,NO,CI,SO,Y,N,08,COUNTY,33,N,12565,1,0,0,1.9239078252520403,0,5.331172987678029,1.8086093775004,0.21331413026084173,0.9617538806208994,0.35493678988638183,0,0.0043206913106096975,6.306369019043047,0.40694511121779486,2.4003840614498319e-4,2.4003840614498319e-4,4.8007681228996637e-4
930,PL1,NO,NP,SO,Y,N,08,PLACE,43,N,61223,1,0,0,3.325806451612903,1,13.641935483870968,24.30537634408602,0.7580645161290323,12.924731182795698,3.8301075268817204,0,0.05268817204301075,18.25698924731183,0.026881720430107527,0,5.376344086021505e-4,0
3469,PL1,NO,CI,SO,Y,Y,08,PLACE,33,N,9763,1,0,0,3.459210147016431,1,7.708561545113866,6.515998846929951,0.19919285096569617,3.4649754972614586,0.6215047564139522,0,0.014125108100317094,8.529259152493514,0,0,2.882675122513693e-4,3.603343903142116e-4
25488,PL2,NO,CO,SO,Y,Y,08,PLACE,32,0,115239,1,0,0,3.0517890772128062,1,2.389830508474576,0.8868487131198995,0.12492153170119272,0.47159447583176395,0.20939265536723164,0,0.0019224733207784054,2.727361895794099,0.0032172002510985564,3.923414940364093e-5,3.923414940364093e-5,2.0597928436911489e-4
3357,PL1,NO,CI,SO,Y,N,08,PLACE,43,N,3427,1,0,0,10.425975573428657,1,6.686922847780757,6.73339291033661,0.18022043491212392,3.5805778969317843,2.1486446231754543,0,0.01459636580280012,9.336014298480787,0.3202263926124516,2.978850163836759e-4,8.936550491510277e-4,8.340780458742925e-4
