Epoch 85/5000, Train Loss: 12091507712.0, Val Loss: 13528843264.0
Epoch 86/5000, Train Loss: 12079133696.0, Val Loss: 13501153280.0
Epoch 87/5000, Train Loss: 12067740672.0, Val Loss: 13448068096.0
Epoch 88/5000, Train Loss: 12056311808.0, Val Loss: 13407001600.0
Epoch 89/5000, Train Loss: 12045605888.0, Val Loss: 13384073216.0
Epoch 90/5000, Train Loss: 12035194880.0, Val Loss: 13345716224.0
Epoch 91/5000, Train Loss: 12024847360.0, Val Loss: 13303821312.0
Epoch 92/5000, Train Loss: 12014993408.0, Val Loss: 13286927360.0
Epoch 93/5000, Train Loss: 12004456448.0, Val Loss: 13274820608.0
Epoch 94/5000, Train Loss: 11994284032.0, Val Loss: 13240220672.0
Epoch 95/5000, Train Loss: 11983792128.0, Val Loss: 13225641984.0
Epoch 96/5000, Train Loss: 11973907456.0, Val Loss: 13219101696.0
Epoch 97/5000, Train Loss: 11964280832.0, Val Loss: 13187066880.0
Epoch 98/5000, Train Loss: 11954549760.0, Val Loss: 13164692480.0
Epoch 99/5000, Train Loss: 11943431168.0, Val Loss: 13141452800.0
Epoch 100/5000, Train Loss: 11929958400.0, Val Loss: 13099824128.0
Epoch 101/5000, Train Loss: 11914435584.0, Val Loss: 13057526784.0
Epoch 102/5000, Train Loss: 11897269248.0, Val Loss: 13021967360.0
Epoch 103/5000, Train Loss: 11887902720.0, Val Loss: 12983118848.0
Epoch 104/5000, Train Loss: 11880685568.0, Val Loss: 12946748416.0
Epoch 105/5000, Train Loss: 11872702464.0, Val Loss: 12926613504.0
Epoch 106/5000, Train Loss: 11863661568.0, Val Loss: 12911824896.0
Epoch 107/5000, Train Loss: 11855144960.0, Val Loss: 12895079424.0
Epoch 108/5000, Train Loss: 11845067776.0, Val Loss: 12893922304.0
Epoch 109/5000, Train Loss: 11835595776.0, Val Loss: 12898918400.0
Epoch 110/5000, Train Loss: 11826327552.0, Val Loss: 12897789952.0
Epoch 111/5000, Train Loss: 11817830400.0, Val Loss: 12911831040.0
Epoch 112/5000, Train Loss: 11809251328.0, Val Loss: 12920241152.0
Epoch 113/5000, Train Loss: 11800150016.0, Val Loss: 12923292672.0
Epoch 114/5000, Train Loss: 11791288320.0, Val Loss: 12936275968.0
Epoch 115/5000, Train Loss: 11782607872.0, Val Loss: 12943169536.0
Epoch 116/5000, Train Loss: 11773984768.0, Val Loss: 12946604032.0
Epoch 117/5000, Train Loss: 11766640640.0, Val Loss: 12942738432.0
Epoch 118/5000, Train Loss: 11758320640.0, Val Loss: 12935546880.0
Epoch 119/5000, Train Loss: 11748606976.0, Val Loss: 12909301760.0
Epoch 120/5000, Train Loss: 11738788864.0, Val Loss: 12897825792.0
Epoch 121/5000, Train Loss: 11729827840.0, Val Loss: 12866243584.0
Epoch 122/5000, Train Loss: 11720978432.0, Val Loss: 12854909952.0
Epoch 123/5000, Train Loss: 11712496640.0, Val Loss: 12839889920.0
